Nº | TIPO | RESULTADO | PnL | BALANCE ACUM.
149 | DOWN | 🛡️ TRAIL | $  0.70 | $   17.60
150 | DOWN | 🛡️ TRAIL | $  1.10 | $   18.70
151 | DOWN | 🛡️ TRAIL | $  1.00 | $   19.70
152 | DOWN | 🛡️ TRAIL | $  0.50 | $   20.20
153 | DOWN | 🛡️ TRAIL | $  0.10 | $   20.30
154 | DOWN | 🛡️ TRAIL | $  1.30 | $   21.60
155 | DOWN | 🛡️ TRAIL | $  0.60 | $   22.20
156 | DOWN | ❌ LOSS   | $ -1.50 | $   20.70
157 | UP   | ✅ TARGET | $  3.00 | $   23.70
158 | UP   | 🛡️ TRAIL | $  0.30 | $   24.00
159 | UP   | 🛡️ B-EVEN | $  0.00 | $   24.00
160 | DOWN | 🛡️ TRAIL | $  1.20 | $   25.20
161 | DOWN | 🛡️ TRAIL | $  0.10 | $   25.30
162 | UP   | ❌ LOSS   | $ -1.50 | $   23.80
163 | DOWN | 🛡️ B-EVEN | $  0.00 | $   23.80
164 | DOWN | 🛡️ TRAIL | $  0.30 | $   24.10
165 | UP   | 🛡️ TRAIL | $  1.00 | $   25.10
166 | UP   | 🛡️ TRAIL | $  1.20 | $   26.30
167 | UP   | ❌ LOSS   | $ -1.50 | $   24.80
168 | DOWN | ❌ LOSS   | $ -1.50 | $   23.30
169 | UP   | 🛡️ TRAIL | $  0.40 | $   23.70
170 | UP   | 🛡️ TRAIL | $  0.80 | $   24.50
171 | UP   | ❌ LOSS   | $ -1.50 | $   23.00
172 | DOWN | 🛡️ TRAIL | $  1.50 | $   24.50
173 | DOWN | ✅ TARGET | $  3.00 | $   27.50
174 | DOWN | 🛡️ TRAIL | $  0.90 | $   28.40
175 | DOWN | 🛡️ B-EVEN | $  0.00 | $   28.40
176 | DOWN | 🛡️ B-EVEN | $  0.00 | $   28.40
177 | DOWN | 🛡️ TRAIL | $  0.90 | $   29.30
178 | UP   | 🛡️ TRAIL | $  0.20 | $   29.50
179 | DOWN | ❌ LOSS   | $ -1.50 | $   28.00
180 | UP   | 🛡️ TRAIL | $  0.40 | $   28.40
181 | UP   | ❌ LOSS   | $ -1.50 | $   26.90
182 | UP   | 🛡️ TRAIL | $  0.20 | $   27.10
183 | UP   | 🛡️ TRAIL | $  0.20 | $   27.30
184 | UP   | 🛡️ TRAIL | $  0.20 | $   27.50
185 | UP   | 🛡️ B-EVEN | $  0.00 | $   27.50
186 | UP   | 🛡️ TRAIL | $  0.30 | $   27.80
187 | DOWN | 🛡️ B-EVEN | $  0.00 | $   27.80
188 | UP   | 🛡️ TRAIL | $  0.30 | $   28.10
189 | DOWN | 🛡️ TRAIL | $  0.60 | $   28.70
